"id","name","type","latitude","longitude"
"177599080","Zion Substation","transmission","42.44672992382337","-87.80538764311333"
"177599162","North Chicago Substation","transmission","42.32111474181593","-87.8764724531537"
"177767948","Lake Bluff Substation","transmission","42.27856720182891","-87.86663104997294"
"177844295",NULL,"unspecified","43.62615211886106","-89.7779777218424"
"177862347",NULL,"unspecified","42.081509224132404","-87.90357190732045"
"177922182",NULL,"unspecified","43.55819025184763","-89.52701120061384"
"177922186","Portage","transmission","43.54798230467767","-89.46679146547699"
"177930721","Butterfield Substation","transmission","41.83330915123905","-88.04592600001507"
"177930723","Romeoville Substation","transmission","41.638209437274654","-88.09483006998465"
"177930731",NULL,"unspecified","41.756543933381195","-88.0595355155288"
"177935035",NULL,"unspecified","43.40297331244922","-89.09515623712673"
"178059641",NULL,"distribution","39.7247032058461","-85.89593797423528"
"178083909",NULL,"unspecified","40.569051601483","-87.2568268638364"
"178083911",NULL,"unspecified","40.62710505719618","-87.01719904976372"
"178083912",NULL,"unspecified","40.56447370039251","-87.41791004999982"
"178083913",NULL,"unspecified","40.5642415910404","-87.41738942477983"
"178083914",NULL,"transmission","40.57896475099877","-87.38087714998676"
"178083915",NULL,"unspecified","40.60681797604064","-87.26689960883128"
"178083916","Meadow Lake Substation","unspecified","40.653129811514646","-86.9344776090589"
"178083917",NULL,"unspecified","40.57787226626494","-87.33401561751178"
"178083918",NULL,"unspecified","40.56480642230764","-87.41775943909444"
"178087549","South Prairie Sub","unspecified","40.64764862994008","-86.93574158829473"
"178087554",NULL,"unspecified","40.705933949900775","-86.99589972896129"
"178100011","Bass Lake Sub","unspecified","41.22279905072105","-86.62164145000118"
"178100026",NULL,"unspecified","41.87188897260219","-88.14576195475021"
"178100027",NULL,"unspecified","41.85934815032184","-88.11590004778945"
"178163386",NULL,"transmission","41.97402800041447","-86.49095655255941"
"178198058","Prairie Creek Generating Station","generation","41.944745745214185","-91.63889327347934"
"178198718","Prairie Creek Industrial Substation","transmission","41.93854018012104","-91.6498310412568"
"178211446",NULL,"unspecified","41.56508100797509","-87.04473609547632"
"178242301","Crosstown Substation","distribution","39.09084882451522","-94.57610644447657"
"178247989",NULL,"unspecified","39.18833797523687","-96.58578407979239"
"178252139",NULL,"unspecified","43.12680685084687","-88.59366704860619"
"178252140",NULL,"unspecified","43.16662506615985","-88.68826935840666"
"178310988","Woodbury Substation","unspecified","44.92744925047902","-92.96538617136294"
"178310989","Tanners Lake Substation","unspecified","44.95526281322999","-92.99604652965992"
"178323756","Gleason Lake Substation","transmission","44.98125625444926","-93.50289966936212"
"178383395","Cary Substation","unspecified","42.202759174329366","-88.23507189690488"
"178383456",NULL,"unspecified","42.16839855234228","-88.23846102199785"
"178383458",NULL,"transmission","42.093739153120936","-88.23868327362469"
"178383486",NULL,"unspecified","42.103263741779706","-88.23795914902247"
"178415093","Walnut Grove ITC Substation","unspecified","44.2242317064897","-95.46159352436207"
"178419215","Erie Road Substation","distribution","44.47067650089585","-95.78971115000124"
"178424529","Saratoga Substation","distribution","44.446564008482476","-95.79201136133004"
"178424532","Marshall 115/69 Substation","transmission","44.487546813282755","-95.7364512789368"
"178424533","Southwest Substation","distribution","44.42580246331604","-95.80404002490145"
"178424945","Lyon County Substation","transmission","44.47355217870261","-95.6739156001438"
"178424949","Switching Substation","transmission","44.471558441629554","-95.7570056196947"
"178495186","Williston","transmission","48.14401581198012","-103.73224975595319"
"178496504","Eastwood Substation","unspecified","44.16962358757474","-93.93979880042528"
"178581655","Ghent Substation","distribution","44.516250567970324","-95.90053589635905"
"178591680","Francisco Substation","transmission","38.32209956011919","-87.42374418411956"
"178591686","Gibson Station","generation","38.37449692910013","-87.763850835182"
"178592482","Duff Substation","transmission","38.31168581906078","-87.02405276724319"
